age;marital;default;balance;housing;day;month;duration;campaign;pdays;previous;poutcome;y;level
39;married;no;7685;yes;14;apr;493;3.0;-1;0;unknown;no;zero
35;divorced;no;4515;yes;19;nov;98;2.0;-1;0;unknown;no;one
28;single;no;517;no;8;jul;681;1.0;-1;0;unknown;yes;zero
27;single;no;148;no;22;jul;203;1.0;-1;0;unknown;no;two
48;married;yes;-285;no;19;nov;157;1.0;-1;0;unknown;no;one
50;married;no;887;no;16;jun;287;1.0;-1;0;unknown;no;two
45;married;no;3098;yes;7;aug;159;2.0;-1;0;unknown;no;one
41;married;no;744;yes;14;may;125;1.0;-1;0;unknown;no;one
39;married;no;130;no;8;jul;202;2.0;-1;0;unknown;no;one
44;married;no;438;yes;8;may;37;3.0;303;1;failure;no;two
54;married;no;0;no;28;jan;161;1.0;98;2;failure;yes;two
49;married;no;322;no;6;aug;72;4.0;-1;0;unknown;no;one
34;single;no;186;no;2;feb;342;1.0;-1;0;unknown;no;two
75;divorced;no;3810;yes;16;nov;262;1.0;183;1;failure;yes;two
42;married;no;0;no;13;aug;325;2.0;-1;0;unknown;no;zero
53;married;no;4380;no;19;aug;223;7.0;-1;0;unknown;no;two
49;divorced;no;755;no;31;jul;1212;4.0;-1;0;unknown;yes;one
31;single;no;2070;no;29;aug;319;2.0;-1;0;unknown;no;zero
45;single;no;999;no;29;jan;182;2.0;-1;0;unknown;no;one
39;married;no;167;yes;17;jul;330;1.0;-1;0;unknown;no;two
46;married;no;1322;yes;19;nov;514;1.0;-1;0;unknown;no;two
42;divorced;no;1076;yes;14;may;213;1.0;-1;0;unknown;no;one
37;married;no;502;yes;7;may;551;1.0;351;1;failure;no;two
26;single;no;1216;yes;16;apr;472;2.0;-1;0;unknown;no;zero
37;single;no;876;yes;15;apr;140;4.0;327;2;failure;no;two
36;single;no;342;yes;7;may;142;1.0;-1;0;unknown;no;two
29;single;no;950;yes;4;jun;135;3.0;-1;0;unknown;no;two
36;married;no;973;yes;23;may;293;1.0;-1;0;unknown;no;zero
26;married;no;3825;yes;13;may;107;1.0;-1;0;unknown;no;one
32;married;no;2366;yes;20;may;127;2.0;-1;0;unknown;no;zero
40;married;no;542;yes;20;nov;1816;1.0;-1;0;unknown;no;one
53;married;no;995;no;4;feb;200;3.0;-1;0;unknown;no;zero
29;married;no;20;yes;12;may;418;1.0;-1;0;unknown;no;one
34;single;no;228;yes;22;jul;387;4.0;-1;0;unknown;no;two
43;married;no;130;no;5;may;156;1.0;337;3;failure;no;two
56;married;no;217;no;21;jul;121;2.0;-1;0;unknown;no;two
55;divorced;no;0;no;6;jun;108;2.0;-1;0;unknown;no;one
31;married;no;259;yes;7;may;47;1.0;-1;0;unknown;no;zero
27;single;no;619;yes;20;apr;16;5.0;322;4;other;no;two
36;married;no;644;yes;18;nov;54;2.0;-1;0;unknown;no;one
44;married;no;22;yes;6;aug;265;2.0;-1;0;unknown;no;two
37;divorced;no;4303;yes;23;may;168;1.0;-1;0;unknown;no;two
30;single;no;239;yes;7;may;115;3.0;-1;0;unknown;no;zero
42;single;no;275;no;26;aug;31;8.0;-1;0;unknown;no;one
30;married;no;1221;yes;25;jul;279;4.0;-1;0;unknown;yes;one
62;married;no;816;no;1;sep;28;2.0;-1;0;unknown;no;two
24;married;no;1222;yes;20;apr;369;1.0;-1;0;unknown;no;zero
31;married;no;2363;yes;13;may;247;1.0;-1;0;unknown;no;zero
66;married;no;2262;no;22;apr;155;1.0;-1;0;unknown;no;zero
47;married;no;2;no;10;jul;89;1.0;-1;0;unknown;no;two
39;married;no;2;yes;17;nov;180;1.0;-1;0;unknown;no;one
35;married;no;4508;yes;18;nov;854;1.0;-1;0;unknown;yes;one
35;divorced;no;-402;yes;17;apr;46;1.0;-1;0;unknown;no;two
27;married;no;1577;yes;28;may;266;2.0;-1;0;unknown;no;two
32;married;no;34;yes;5;may;321;2.0;-1;0;unknown;no;zero
44;married;no;795;no;28;aug;99;24.0;-1;0;unknown;no;zero
42;married;no;117;yes;9;may;147;1.0;-1;0;unknown;no;zero
34;single;no;5462;no;30;apr;430;1.0;-1;0;unknown;yes;two
25;single;no;402;no;7;jul;264;1.0;-1;0;unknown;no;one
40;single;no;641;no;16;jul;156;6.0;-1;0;unknown;no;one
43;divorced;no;36;no;26;may;118;1.0;102;2;failure;no;zero
55;married;no;383;no;6;may;343;3.0;-1;0;unknown;no;zero
50;married;no;283;yes;7;aug;226;3.0;-1;0;unknown;no;zero
45;divorced;no;0;no;1;jun;5;1.0;-1;0;unknown;no;one
35;divorced;no;3102;yes;20;nov;138;1.0;-1;0;unknown;no;one
32;married;no;889;yes;10;sep;185;1.0;99;5;success;yes;zero
59;married;no;0;no;3;feb;722;1.0;99;4;failure;no;zero
34;married;no;-370;yes;21;may;748;1.0;-1;0;unknown;no;one
39;married;no;-606;yes;26;may;142;1.0;-1;0;unknown;no;zero
40;single;no;10378;yes;17;nov;523;3.0;-1;0;unknown;no;zero
36;single;no;1313;yes;20;jun;8;10.0;-1;0;unknown;no;two
40;married;no;8969;yes;17;nov;153;1.0;-1;0;unknown;no;zero
55;married;no;-196;yes;20;may;210;2.0;-1;0;unknown;no;zero
38;married;yes;15;yes;10;jul;121;1.0;-1;0;unknown;no;two
61;married;no;4608;no;12;mar;212;1.0;-1;0;unknown;yes;two
41;married;no;666;yes;21;may;253;3.0;-1;0;unknown;no;one
57;married;no;452;yes;13;may;139;4.0;-1;0;unknown;no;two
48;married;no;149;yes;9;may;71;1.0;-1;0;unknown;no;two
77;married;no;7802;no;4;may;421;1.0;92;2;success;yes;two
35;married;no;1453;yes;28;may;199;1.0;-1;0;unknown;no;zero
54;married;no;1480;yes;14;may;108;1.0;-1;0;unknown;no;two
37;single;no;715;yes;20;may;247;2.0;-1;0;unknown;no;one
56;single;no;237;yes;9;jul;236;4.0;-1;0;unknown;no;one
40;married;no;694;yes;4;feb;97;4.0;196;5;failure;no;one
40;married;no;0;no;14;jul;109;8.0;-1;0;unknown;no;one
54;married;no;55;yes;2;jun;112;2.0;-1;0;unknown;no;zero
55;married;no;136;yes;19;jun;15;10.0;-1;0;unknown;no;two
55;divorced;yes;-404;yes;22;jul;502;3.0;-1;0;unknown;no;two
52;married;no;779;yes;16;may;30;3.0;-1;0;unknown;no;one
55;single;no;1187;yes;2;jun;193;2.0;-1;0;unknown;no;two
33;married;no;641;yes;13;aug;347;2.0;-1;0;unknown;no;two
52;married;no;826;yes;15;may;468;2.0;-1;0;unknown;no;two
33;divorced;no;991;yes;27;may;148;1.0;-1;0;unknown;no;one
53;married;no;1796;no;16;mar;295;1.0;91;2;success;yes;two
46;married;no;22;no;26;aug;388;6.0;-1;0;unknown;yes;one
44;single;no;244;yes;12;aug;1735;4.0;-1;0;unknown;yes;two
48;divorced;no;1328;yes;6;may;339;1.0;-1;0;unknown;no;two
50;married;no;7317;yes;13;may;172;1.0;370;1;failure;no;one
34;single;no;4943;yes;19;nov;117;2.0;-1;0;unknown;no;zero
38;single;no;258;no;20;jun;587;2.0;-1;0;unknown;no;two
